[2022-08-09T09:24:41.169] [WARN] archivo - Log de warn
[2022-08-09T09:24:41.171] [ERROR] archivo - Log de error
[2022-08-09T09:24:41.171] [FATAL] archivo - Log de fatal
[2022-08-09T09:26:00.739] [ERROR] todos - Log de error
[2022-08-09T09:26:00.744] [FATAL] todos - Log de fatal
[2022-08-09T09:28:33.140] [ERROR] todos - Log de error
[2022-08-09T09:28:33.145] [FATAL] todos - Log de fatal
[2022-08-09T09:28:47.763] [ERROR] todos - Log de error
[2022-08-09T09:28:47.768] [FATAL] todos - Log de fatal
[2022-08-09T09:29:33.700] [ERROR] custom - Log de error
[2022-08-09T09:29:33.700] [FATAL] custom - Log de fatal
[2022-08-09T09:33:28.337] [ERROR] custom - Log de error
[2022-08-09T09:33:28.337] [FATAL] custom - Log de fatal
[2022-08-09T09:33:41.684] [ERROR] custom - Log de error
[2022-08-09T09:33:41.684] [FATAL] custom - Log de fatal
[2022-08-09T09:33:52.905] [ERROR] custom - Log de error
[2022-08-09T09:33:52.905] [FATAL] custom - Log de fatal
[2022-08-09T09:34:17.289] [ERROR] custom - Log de error
[2022-08-09T09:34:17.290] [FATAL] custom - Log de fatal
[2022-08-09T09:34:28.086] [ERROR] custom - Log de error
[2022-08-09T09:34:28.086] [FATAL] custom - Log de fatal
[2022-08-09T09:34:29.325] [ERROR] custom - Log de error
[2022-08-09T09:34:29.325] [FATAL] custom - Log de fatal
[2022-08-09T09:34:35.173] [ERROR] custom - Log de error
[2022-08-09T09:34:35.173] [FATAL] custom - Log de fatal
[2022-08-09T09:34:45.993] [ERROR] custom - Log de error
[2022-08-09T09:34:45.993] [FATAL] custom - Log de fatal
[2022-08-09T09:34:52.551] [ERROR] custom - Log de error
[2022-08-09T09:34:52.551] [FATAL] custom - Log de fatal
[2022-08-09T09:35:01.442] [ERROR] custom - Log de error
[2022-08-09T09:35:01.442] [FATAL] custom - Log de fatal
[2022-08-09T09:35:13.917] [ERROR] custom - Log de error
[2022-08-09T09:35:13.917] [FATAL] custom - Log de fatal
[2022-08-09T09:35:19.453] [ERROR] custom - Log de error
[2022-08-09T09:35:19.454] [FATAL] custom - Log de fatal
[2022-08-09T09:35:27.004] [ERROR] custom - Log de error
[2022-08-09T09:35:27.005] [FATAL] custom - Log de fatal
[2022-08-09T09:35:41.621] [ERROR] custom - Log de error
[2022-08-09T09:35:41.622] [FATAL] custom - Log de fatal
[2022-08-09T09:35:53.029] [ERROR] custom - Log de error
[2022-08-09T09:35:53.029] [FATAL] custom - Log de fatal
[2022-08-09T09:36:01.969] [ERROR] custom - Log de error
[2022-08-09T09:36:01.969] [FATAL] custom - Log de fatal
[2022-08-09T09:36:10.110] [ERROR] custom - Log de error
[2022-08-09T09:36:10.110] [FATAL] custom - Log de fatal
[2022-08-09T09:36:38.405] [ERROR] custom - Log de error
[2022-08-09T09:36:38.405] [FATAL] custom - Log de fatal
[2022-08-09T09:36:43.803] [ERROR] custom - Log de error
[2022-08-09T09:36:43.804] [FATAL] custom - Log de fatal
[2022-08-09T09:36:55.017] [ERROR] custom - Log de error
[2022-08-09T09:36:55.018] [FATAL] custom - Log de fatal
